id_mutation,date_mutation,nature_mutation,valeur_fonciere,adresse_nom_voie,code_postal,code_commune,nom_commune,id_parcelle,longitude,latitude
2019-56700,2019-02-06,Vente,100000.0,LA PAUSA,6500.0,6067,Gorbio,060670000A0216,7.441773,43.788953
2019-1145433,2019-10-29,Vente,172000.0,PROM DES ANGES,78210.0,78545,Saint-Cyr-l'École,78545000AC0151,2.058468,48.804253
2019-784501,2019-11-25,Vente,87000.0,PL NERUDA ALLENDE,54310.0,54263,Homécourt,54263000AI0706,5.994309,49.224573
2019-689209,2019-03-02,Vente,165000.0,LA RUE BASSE,45130.0,45269,Saint-Ay,452690000G0752,1.743973,47.865874
2019-1385010,2019-03-28,Vente,200000.0,RUE DU MOUTIER,93300.0,93001,Aubervilliers,930010000K0066,2.378532,48.91516
2019-809698,2019-09-19,Vente,57600.0,CORN ER HOET,56400.0,56023,Brech,56023000YD0564,-3.010709,47.716112
2019-984875,2019-10-14,Vente en l'état futur d'achèvement,246000.0,RUE MONTAGNY,69008.0,69388,Lyon 8e Arrondissement,69388000CK0109,4.851677,45.732845
2019-21517,2019-02-15,Vente,100000.0,LE VILLAGE,2290.0,2576,Osly-Courtil,02576000AB0030,3.22463,49.402743
2019-1475956,2019-02-08,Vente,384000.0,RUE CHAUDRON,75010.0,75110,Paris 10e Arrondissement,75110000AF0053,2.366106,48.882631
2019-348898,2019-10-21,Vente,245000.0,RUE DU PERZEL,29217.0,29190,Plougonvelin,29190000AI0726,-4.711511,48.341855
2019-462837,2019-01-29,Vente,210450.0,RUE DE GRANEY,33450.0,33207,Izon,33207000AX0031,-0.342984,44.923189
2019-564230,2019-10-03,Vente,230000.0,SQ LINNE,38320.0,38158,Eybens,38158000AI0434,5.742131,45.146352
2019-821928,2019-12-30,Vente,200000.0,GR GRANDE RUE,58400.0,58059,La Charité-sur-Loire,58059000AW0168,3.018222,47.177482
2019-1503566,2019-01-09,Vente,250000.0,RUE VAUVENARGUES,75018.0,75118,Paris 18e Arrondissement,75118000AI0063,2.334026,48.892205
2019-1309989,2019-01-04,Vente,38000.0,MAISON ROUGE,89330.0,89468,Villevallier,894680000D0269,3.313297,48.025036
2019-1448348,2019-03-28,Vente en l'état futur d'achèvement,159761.0,AV GABRIEL PERI,95870.0,95063,Bezons,95063000AH0897,2.212626,48.930993
2019-395517,2019-09-17,Vente,95000.0,RUE CLAUDIUS ROUGENET,31500.0,31555,Toulouse,31555835AC0105,1.486568,43.600008
2019-100587,2019-11-26,Vente,40000.0,AV DE LA TOUR D'OPE,9000.0,9264,Saint-Jean-de-Verges,092640000C0209,1.611336,43.011447
2019-361652,2019-04-08,Vente,165000.0,RUE BONAPARTE,20110.0,2A249,Propriano,2A2490000A1365,8.902265,41.6742
2019-1194109,2019-07-24,Vente,360000.0,LE PAYSSEL,81170.0,81095,Frausseilles,810950000B0179,1.928922,44.021697
2019-89976,2019-10-04,Vente,140000.0,LES PEYSSES,7340.0,7243,Saint-Jacques-d'Atticieux,072430000A1005,4.668144,45.333865
2019-1141087,2019-01-25,Vente,264000.0,AV DE LA SOURCE,78180.0,78423,Montigny-le-Bretonneux,78423000AY0654,2.02803,48.768462
2019-60923,2019-08-02,Vente,95000.0,LE VILLAGE,6260.0,6098,Puget-Rostang,060980000C0010,6.918285,43.974103
2019-706394,2019-12-30,Vente,69000.0,GUILLOUNAS,47450.0,47246,Saint-Hilaire-de-Lusignan,472460000I1120,0.530904,44.243556
