id_mutation,date_mutation,nature_mutation,valeur_fonciere,adresse_nom_voie,code_postal,code_commune,nom_commune,id_parcelle,longitude,latitude
2018-812449,2018-11-13,Vente,40000.0,RUE DE L ESPERANCE,59600.0,59392,Maubeuge,593920000V0378,3.943434,50.267417
2018-976013,2018-12-21,Vente,49000.0,LA TEPPE,71190.0,71192,Étang-sur-Arroux,711920000A0979,4.229153,46.889918
2018-689501,2018-09-06,Vente,120000.0,IGNE,49700.0,49100,Cizay-la-Madeleine,49100000ZC0352,-0.198984,47.208459
2018-663856,2018-09-24,Vente,48000.0,RUE DES TERMES,46400.0,46273,Saint-Laurent-les-Tours,46273000AB0218,1.886764,44.868031
2018-570353,2018-12-28,Vente,100000.0,MOURCAOU,40410.0,40227,Pissos,402270000T0333,-0.815127,44.311603
2018-852893,2018-10-23,Vente,68750.0,RES ARTHUR VAN HECKE,62114.0,62737,Sains-en-Gohelle,62737000AK0451,2.684661,50.452612
2018-277546,2018-10-10,Vente,160000.0,VILLAGE HAUT,25320.0,25084,Boussières,25084000AD0094,5.906806,47.156963
2018-1290536,2018-09-04,Vente,534000.0,PL CORNEILLE,92100.0,92012,Boulogne-Billancourt,92012000BL0196,2.248237,48.830755
2018-879822,2018-07-27,Vente,120750.0,LE PRADEL,63480.0,63207,Marat,63207000AZ0313,3.672311,45.658553
2018-405049,2018-02-20,Vente,234210.0,CRS SAINT LOUIS,33300.0,33063,Bordeaux,33063000RO0055,-0.56608,44.860663
2018-376507,2018-12-04,Vente en l'état futur d'achèvement,159500.0,,,31555,Toulouse,31555812AD0091,1.440789,43.579103
2018-973188,2018-06-11,Vente,172000.0,RUE ERNEST CARRIER,71600.0,71342,Paray-le-Monial,71342000AB0038,4.109198,46.459302
2018-621356,2018-05-02,Vente,377000.0,LA PENETRIE,44190.0,44064,Gorges,44064000AW0097,-1.305978,47.118989
2018-25058,2018-09-27,Vente,134000.0,RUE DES POTIERS,3000.0,3190,Moulins,03190000AN0054,3.338745,46.568189
2018-831706,2018-04-13,Vente terrain à bâtir,532421.94,LE DEPROFONDIS,60800.0,60479,Ormoy-Villers,60479000ZC0060,2.839936,49.19859
2018-1192395,2018-11-12,Vente,310000.0,RUE PIERRE BEREGOVOY,85000.0,85191,La Roche-sur-Yon,85191000AN0102,-1.42941,46.668159
2018-88812,2018-01-10,Vente,65000.0,LE VILLAGE,8130.0,8458,Tourteron,08458000ZD0024,,
2018-510782,2018-12-29,Vente,80000.0,RUE DE LA ROCHE AUX FEES,35130.0,35235,Rannée,35235000AA0165,-1.241691,47.924399
2018-550852,2018-03-02,Vente,240000.0,CHAMP SEVER NORD,38121.0,38107,Chonas-l'Amballan,38107000AD0814,4.824278,45.465218
2018-269442,2018-11-05,Vente,335600.0,CORAIL NORD,24140.0,24345,Queyssac,243450000C0588,0.503609,44.92075
2018-1208568,2018-12-20,Vente,516925.5,IMP DU PEY BRULE,85160.0,85234,Saint-Jean-de-Monts,85234000BX0175,-1.994413,46.763233
2018-345767,2018-07-10,Vente,112000.0,LUPINO RESIDENCES DU PARC,20600.0,2B033,Bastia,2B033000AY0465,9.44348,42.68415
2018-85250,2018-06-12,Vente,70000.0,LE BOCHET,8260.0,8156,Éteignières,081560000D1088,,
