id_mutation,date_mutation,nature_mutation,valeur_fonciere,adresse_nom_voie,code_postal,code_commune,nom_commune,id_parcelle,longitude,latitude
2017-659583,2017-11-24,Vente en l'état futur d'achèvement,179000.0,,,45075,La Chapelle-Saint-Mesmin,45075000AR0116,1.847342,47.893529
2017-1368394,2017-07-17,Vente,117500.0,RUE DU GENERAL LECLERC,95310.0,95572,Saint-Ouen-l'Aumône,95572000BI0228,2.105464,49.047077
2017-889377,2017-08-30,Vente,69000.0,PL SAINT PAUL,63500.0,63178,Issoire,63178000AB0399,3.250302,45.543983
2017-671023,2017-08-23,Vente,215221.0,L'ALBENQUE,46800.0,46263,Barguelonne-en-Quercy,462630140E0015,1.227093,44.389195
2017-533141,2017-12-27,Vente,150000.0,BOURGIRAULT,37330.0,37086,Courcelles-de-Touraine,37086000AM0021,0.306921,47.485663
2017-1226560,2017-12-14,Vente,66000.0,CHE DU TRAIT,86130.0,86115,Jaunay-Marigny,86115000BK0061,0.362876,46.672709
2017-1434427,2017-09-15,Vente,194500.0,RUE DE SAINT MARCEAUX,75017.0,75117,Paris 17e Arrondissement,75117000BX0013,2.302171,48.89053
2017-111916,2017-02-24,Vente,21550.0,LA FRICHERIE,12390.0,12008,Anglars-Saint-Félix,120080000D0498,2.252664,44.408564
2017-1164073,2017-05-29,Vente,215000.0,IMP FREDERIC MISTRAL,83136.0,83064,Garéoult,830640000B2413,6.056061,43.333843
2017-89207,2017-03-28,Vente,142000.0,LE SARRAT D EROS,9200.0,9214,Moulis,092140000C1307,1.114781,42.937708
2017-601202,2017-09-29,Vente,291773.9,RUE DU GYMNASE,42130.0,42197,Sainte-Agathe-la-Bouteresse,421970000C1123,4.018859,45.742352
2017-402046,2017-09-12,Vente,248580.0,AU CASTEROT,32230.0,32009,Armous-et-Cau,320090000D0104,0.174128,43.576436
2017-5083,2017-03-09,Vente,140000.0,GR GRANDE RUE,1150.0,1386,Saint-Sorlin-en-Bugey,013860000B0428,5.373163,45.882216
2017-1176252,2017-11-29,Vente,370000.0,CHV N 171 DIT DU RAVIN,83500.0,83126,La Seyne-sur-Mer,83126000BM0033,5.879208,43.073342
2017-1248955,2017-03-27,Vente,272000.0,RUE DE L ECOLE NORMALE,89000.0,89024,Auxerre,89024000EN0190,3.559067,47.793237
2017-477807,2017-05-02,Vente,272035.0,CAMI FOUNJUT,34350.0,34324,Valras-Plage,34324000BI0003,3.280053,43.242101
2017-685347,2017-07-26,Vente,110000.0,ALMONT,49610.0,49167,Les Garennes sur Loire,491670000B0375,-0.493447,47.407126
2017-60664,2017-09-01,Vente,480000.0,CHE DES MOULIERES,6110.0,6030,Le Cannet,06030000AL0688,7.013437,43.578704
2017-79636,2017-12-22,Vente,40000.0,SEBASTIER,7380.0,7156,Meyras,07156000AH0203,4.282664,44.677773
2017-1375485,2017-01-30,Vente,173000.0,RUE D ANDILLY,95230.0,95598,Soisy-sous-Montmorency,95598000AM0016,2.299764,48.991251
2017-635160,2017-11-08,Vente,92000.0,GRANDE VIGNE DE LA POITRIE,44370.0,44104,Montrelais,441040000E1008,-0.986248,47.398575
2017-857367,2017-01-31,Vente,288000.0,LA JUSTICE,62110.0,62427,Hénin-Beaumont,62427000AT0493,2.966181,50.403401
2017-1186291,2017-03-24,Vente,122000.0,RUE DE LA FORET,84000.0,84007,Avignon,84007000DK0239,4.810652,43.951865
2017-191170,2017-07-13,Vente,224000.0,IMP DU FOURNIL,16200.0,16088,Chassors,160880000A0891,-0.204683,45.721019
2017-261569,2017-03-14,Vente,62000.0,LA PETITE MORENIE,24430.0,24139,Coursac,24139000AW0201,0.643464,45.118406
2017-636332,2017-12-08,Vente en l'état futur d'achèvement,157000.0,AV DE LA POMMERAIE,44830.0,44018,Bouaye,44018000AC0460,-1.694741,47.145837
2017-1381387,2017-12-27,Vente,550000.0,RUE JEAN MERMOZ,95120.0,95219,Ermont,95219000AD0741,2.262386,48.989054
2017-151376,2017-02-03,Vente en l'état futur d'achèvement,142000.0,RUE ALBERT REY,13110.0,13077,Port-de-Bouc,13077000AA0328,4.97919,43.401353
2017-816140,2017-11-28,Vente en l'état futur d'achèvement,154760.0,RUE FERNAND COUTEAU,59552.0,59156,Courchelettes,59156000AA0302,3.062817,50.344107
2017-116226,2017-07-10,Vente,178450.0,RUE DU POUSTEL,12150.0,12270,Sévérac d'Aveyron,122700000A1405,3.06276,44.321883
2017-331791,2017-11-04,Vente,201000.0,LA CASERNE,29870.0,29101,Landéda,29101000BM0016,-4.567025,48.597413
2017-571578,2017-03-21,Vente,50000.0,LAMARQUE,40250.0,40141,Lahosse,401410000A0306,-0.803091,43.710109
2017-673663,2017-03-21,Vente,58000.0,RUE JEAN LAFFORE,47000.0,47001,Agen,47001000AI0467,0.6393,44.208365
2017-273904,2017-07-03,Vente,254380.0,CHE DU FORT DE BREGILLE,25000.0,25056,Besançon,25056000CR0038,6.040384,47.238935
2017-112141,2017-03-10,Vente,152000.0,PRUNHE,12600.0,12036,Brommat,120360000H0631,2.71627,44.849368
2017-933378,2017-07-20,Vente en l'état futur d'achèvement,289000.0,RUE DU BOURBONNAIS,69009.0,69389,Lyon 9e Arrondissement,69389000BN0060,4.795453,45.773861
2017-1365638,2017-03-31,Vente,248000.0,RTE D HAUTE ISLE,95780.0,95523,La Roche-Guyon,955230000B0755,1.637253,49.083032
2017-1189488,2017-10-16,Vente,40000.0,RUE CAVALERIE,84700.0,84129,Sorgues,84129000DW0288,4.871616,44.01103
2017-326153,2017-07-05,Vente,58000.0,RUE JEAN MACE,29200.0,29019,Brest,29019000CH0111,-4.492091,48.389304
2017-686492,2017-09-29,Vente,39000.0,RUE LAINE LAROCHE,49000.0,49007,Angers,49007000CV0704,-0.541873,47.463062
2017-444346,2017-05-04,Vente,145000.0,RUE ANTOINE DE ST EXUPERY,33660.0,33478,Saint-Seurin-sur-l'Isle,334780000D1300,-0.008108,45.008816
2017-900926,2017-06-22,Vente,69500.0,RUE PIERRE MOUSSEMPES ABBE,64200.0,64122,Biarritz,64122000AY0030,-1.556934,43.481412
2017-935235,2017-10-20,Vente,213600.0,RUE DE L ALMA,69001.0,69381,Lyon 1er Arrondissement,69381000AE0117,4.827602,45.772789
2017-864436,2017-08-11,Vente,100000.0,RUE TOM SOUVILLE,62100.0,62193,Calais,62193000XD0136,1.850862,50.958019
2017-799582,2017-11-28,Vente,168600.0,RUE DU GEN DE GAULLE,59133.0,59462,Phalempin,59462000AD0089,3.01677,50.510904
2017-501154,2017-06-13,Vente,144500.0,BD DU STADE,35250.0,35251,Saint-Aubin-d'Aubigné,35251000AD0168,-1.601313,48.259634
2017-261991,2017-04-18,Vente,200000.0,LAMOURA,24750.0,24053,Boulazac Isle Manoire,24053000AZ0013,0.766384,45.17605
2017-751295,2017-02-24,Vente,43000.0,LA SAVONNIERE,55100.0,55073,Bras-sur-Meuse,55073000ZC0031,5.380464,49.18938
2017-1094775,2017-07-25,Vente en l'état futur d'achèvement,307000.0,RUE DE L ABBE ROUSSEAU,78000.0,78646,Versailles,78646000BS0226,2.132035,48.794716
2017-372114,2017-08-04,Vente,165500.0,RUE MONIE,31500.0,31555,Toulouse,31555807AC0349,1.471113,43.604893
2017-255602,2017-02-22,Vente,250000.0,PARC ANTY,22570.0,22107,Bon Repos sur Blavet,221071670A0661,-3.142079,48.205363
2017-462678,2017-10-26,Vente en l'état futur d'achèvement,175000.0,LE FRAISSE,34430.0,34270,Saint-Jean-de-Védas,34270000AW0237,3.832833,43.575517
2017-977449,2017-07-26,Vente,200610.0,RUE RAMBUTEAU,71000.0,71270,Mâcon,71270000AD0616,4.826026,46.307136
2017-359127,2017-08-02,Vente,152056.0,CHEMIN DE GALLICIAN,30510.0,30128,Générac,301280000C0845,4.342335,43.70422
2017-611603,2017-11-09,Vente,30240.0,LA SAUVAGINE,43200.0,43150,Le Pertuis,431500000D1528,4.055263,45.09902
2017-960494,2017-12-29,Vente en l'état futur d'achèvement,252000.0,AV ANDRE DEVIENNE,69630.0,69043,Chaponost,69043000AK0562,4.746722,45.714955
2017-470026,2017-06-01,Vente,162000.0,BLANC,34270.0,34078,Claret,340780000C0421,3.890092,43.847102
2017-565614,2017-05-19,Vente,370000.0,CHE DU CRESSON,39220.0,39470,Les Rousses,394700000E0872,6.068728,46.458369
2017-59548,2017-06-22,Vente,550000.0,RUE ALBERT CAQUOT,6410.0,6018,Biot,06018000AC0003,7.059106,43.618385
2017-744599,2017-12-21,Vente,182600.0,RUE GABRIEL PERI,54110.0,54549,Varangéville,54549000AB0469,6.317143,48.635181
2017-324555,2017-03-24,Vente,69000.0,AV DE PROVENCE,29200.0,29019,Brest,29019000EW0193,-4.514785,48.408123
2017-971247,2017-05-24,Vente,133000.0,CHAMPS VRY 1ER CANTON,70200.0,70432,Quers,704320000A0590,6.432008,47.732205
2017-369674,2017-06-15,Vente,217065.0,RUE SAINT GERMAIN,31130.0,31445,Quint-Fonsegrives,31445000ZC0619,1.539843,43.581259
2017-311690,2017-11-20,Vente,56000.0,LES MUIDS DU GRAND CORMIER,28800.0,28260,Montharville,28260000ZA0169,1.303476,48.178548
2017-1079294,2017-12-28,Vente en l'état futur d'achèvement,182344.0,PL JACQUES LEPESME,77130.0,77305,Montereau-Fault-Yonne,77305000AD0735,2.950197,48.397418
2017-1223933,2017-08-08,Vente,37000.0,LA GAUTIERE,86350.0,86234,Saint-Martin-l'Ars,862340000C0663,0.558553,46.22383
2017-1159727,2017-10-27,Vente,321740.0,AV DE LA THEBAIDE,83380.0,83107,Roquebrune-sur-Argens,83107000CE0253,6.687778,43.343481
2017-1435020,2017-11-27,Vente en l'état futur d'achèvement,476000.0,,,75117,Paris 17e Arrondissement,75117000CV0032,2.310037,48.892147
2017-1230592,2017-01-25,Vente,150000.0,RUE FRANCOIS CHENIEUX,87000.0,87085,Limoges,87085000DO0108,1.256511,45.83407
2017-242916,2017-05-05,Vente,170000.0,LE TERTRE,22800.0,22099,Lanfains,22099000ZI0207,-2.911367,48.383938
2017-701687,2017-07-11,Vente,261500.0,LES BARRIERES DE BAUDRE,50000.0,50034,Baudre,500340000B0668,-1.072239,49.082316
2017-322656,2017-11-08,Vente,65000.0,LOCHOU,29900.0,29039,Concarneau,29039000ZK0223,-3.898465,47.921243
2017-1204032,2017-12-13,Vente,137500.0,LA MANCELIERE,85190.0,85300,Venansault,85300000YP0158,-1.536684,46.647217
2017-593979,2017-12-18,Vente en l'état futur d'achèvement,120300.0,AV DE VERDUN,42000.0,42218,Saint-Étienne,42218000CS0116,4.377681,45.465892
2017-1269667,2017-09-06,Vente,315000.0,RUE DU PROFESSEUR BRANLY,91380.0,91161,Chilly-Mazarin,91161000AM0126,2.306282,48.698027
2017-282269,2017-09-15,Vente,35000.0,RUE MONTALEMBERT,25120.0,25356,Maîche,25356000AB0425,6.802732,47.252677
2017-329132,2017-01-31,Vente,277500.0,RUE GEN DE GAULLE,29260.0,29124,Lesneven,29124000AD0196,-4.329151,48.570667
2017-1265457,2017-11-29,Vente,126216.5,SQ DE BRETAGNE,91330.0,91691,Yerres,91691000AT0179,,
2017-910287,2017-10-09,Vente,80000.0,RUE GEORGES LEDORMEUR,65600.0,65417,Séméac,65417000AC0088,0.100694,43.230056
2017-575398,2017-11-07,Vente,22942.0,LANDES DE BERNADIC,40260.0,40152,Lesperon,401520000M0012,-1.159855,43.969765
2017-1336939,2017-07-04,Vente,245000.0,RUE PIERRE JEAN DE BERANGER,93100.0,93048,Montreuil,93048000CL0115,2.469087,48.866638
2017-1158631,2017-08-21,Vente,380000.0,CHEM DU  GINESTE,83780.0,83058,Flayosc,830580000G2131,6.379831,43.537063
2017-762347,2017-11-28,Vente,180600.0,RUE DU VINCIN,56000.0,56260,Vannes,56260000DE0467,-2.794981,47.653047
2017-1072804,2017-06-02,Vente,215000.0,RUE PASTEUR,77860.0,77382,Quincy-Voisins,77382000AX0660,2.858448,48.900543
2017-1311219,2017-08-31,Vente,272000.0,RUE BLANCHARD,92220.0,92007,Bagneux,920070000E0159,2.296418,48.796969
2017-786040,2017-06-29,Vente,177458.0,RUE MATTEOTTI,59800.0,59350,Lille,59350000CL0264,3.097012,50.624537
2017-741731,2017-09-13,Vente,282600.0,RUE RAYMOND POINCARE,54000.0,54395,Nancy,54395000CI0760,6.170499,48.689879
2017-307271,2017-05-02,Vente,152000.0,RUE DU 19 MARS 1962,28310.0,28199,Janville-en-Beauce,28199000ZO0124,1.889236,48.203801
2017-574963,2017-10-19,Vente,310000.0,RUE FREDERIC BASTIAT,40000.0,40192,Mont-de-Marsan,40192000AB0524,-0.502208,43.889987
2017-714806,2017-01-19,Vente,108992.0,MONT DES TEMPS,51600.0,51515,Saint-Remy-sur-Bussy,51515000ZH0071,4.570951,49.078543
2017-959053,2017-08-22,Vente,364010.0,L ARCHETTE,69390.0,69133,Millery,691330000C1245,4.785228,45.627618
2017-859781,2017-08-31,Vente,133000.0,RUE JEAN JAURES,62790.0,62497,Leforest,62497000AL0165,3.064386,50.437863
2017-1328407,2017-05-05,Vente en l'état futur d'achèvement,161000.0,,,93005,Aulnay-sous-Bois,93005000AH0225,2.501925,48.938291
2017-611254,2017-10-27,Vente en l'état futur d'achèvement,520000.0,RUE SAULNERIE,43000.0,43157,Le Puy-en-Velay,43157000AD0199,3.883499,45.043929
2017-548700,2017-03-06,Vente,65000.0,LES TROUSSIERS,38119.0,38552,Villard-Saint-Christophe,385520000A0755,5.795303,44.97427
2017-276226,2017-11-24,Vente,77000.0,AV DE LA VAITE,25000.0,25056,Besançon,25056000CK0003,6.042973,47.255506
2017-1194980,2017-02-09,Vente,156000.0,AV FERNAND GONNET,84850.0,84029,Camaret-sur-Aigues,84029000AX0091,4.869688,44.161984
2017-76112,2017-04-01,Vente,383400.0,LA CHABREYRE,7190.0,7149,Marcols-les-Eaux,071490000H0473,4.384286,44.821835
2017-333211,2017-04-25,Vente,95000.0,POULLABA,29690.0,29227,Poullaouen,292271290E0484,-3.717276,48.350445
2017-1188440,2017-08-01,Vente en l'état futur d'achèvement,140000.0,LA FERAILLE NORD,84570.0,84070,Malemort-du-Comtat,840700000D1701,5.156734,44.021814
2017-1413150,2017-03-30,Vente,250520.0,RUE DE LA VEGA,75012.0,75112,Paris 12e Arrondissement,75112000AS0067,2.404454,48.837479
2017-744977,2017-02-10,Vente,80000.0,CRUSNES CITES,54680.0,54149,Crusnes,54149000AD0457,5.935987,49.431069
2017-230565,2017-05-12,Vente,87000.0,RUE CHARLES DULLIN,21240.0,21617,Talant,21617000BO0005,4.994077,47.340461
2017-1344012,2017-10-10,Vente,271000.0,RUE CHARLES FLOQUET,94340.0,94042,Joinville-le-Pont,940420000M0095,2.481159,48.815561
2017-1123876,2017-12-20,Vente,25000.0,LE FOURRIS,79500.0,79174,Melle,79174199ZI0028,-0.181238,46.161232
2017-1065368,2017-05-16,Vente,205000.0,AV DU PARC,77170.0,77053,Brie-Comte-Robert,77053000AP0617,2.615618,48.690129
2017-1346261,2017-01-26,Vente,230000.0,RUE GABRIEL PERI,94400.0,94081,Vitry-sur-Seine,940810000J0151,2.400908,48.796715
2017-520952,2017-12-29,Vente,413640.0,LA GARENNE,36250.0,36142,Niherne,361420000L0253,1.570075,46.775448
2017-934367,2017-09-20,Vente,201000.0,CHE DE MONTGAY,69270.0,69088,Fontaines-sur-Saône,69088000AE0301,4.862352,45.831173
2017-612598,2017-12-29,Vente,35000.0,LE BOURG,43520.0,43130,Mazet-Saint-Voy,43130000AE0133,4.246442,45.045754
2017-937386,2017-02-01,Vente,142000.0,RUE PASSET,69007.0,69387,Lyon 7e Arrondissement,69387000AB0019,4.841657,45.75484
2017-17712,2017-04-28,Vente,130000.0,RUE RICHARD LENOIR,2100.0,2691,Saint-Quentin,02691000AW0146,3.29484,49.85145
2017-693654,2017-09-11,Vente,118000.0,SQ D AMIENS,49300.0,49099,Cholet,49099000BL0710,-0.860423,47.057727
2017-530147,2017-03-17,Vente,103000.0,RUE DU 8 MAI 1945,37270.0,37225,Saint-Martin-le-Beau,37225000AH0203,0.908643,47.356817
2017-805228,2017-09-18,Vente en l'état futur d'achèvement,134900.0,RUE JEAN MACE,59200.0,59599,Tourcoing,59599000AC0760,3.126422,50.725268
2017-612142,2017-11-29,Vente,80000.0,RUE SAINT LAURENT,43100.0,43040,Brioude,43040000AI0437,3.382012,45.292259
2017-924814,2017-04-25,Vente,340000.0,PADRAGUETS D AVAIL,66130.0,66055,Corbère,660550000A0149,2.666335,42.6703
2017-1291761,2017-06-30,Vente,176370.0,RUE VICTOR HUGO,92700.0,92025,Colombes,920250000Y0166,2.26387,48.920549
2017-1212378,2017-07-13,Vente,67000.0,RES ST HILAIRE 1 ESP DE LA MER,85270.0,85226,Saint-Hilaire-de-Riez,85226000AT0353,-2.055355,46.774292
2017-419583,2017-06-30,Vente,220000.0,RTE DE LEOGNAN,33170.0,33192,Gradignan,33192000BN0209,-0.609611,44.769323
2017-1031469,2017-08-10,Vente,160000.0,RTE DES GRANGES,74260.0,74134,Les Gets,741340000I1114,6.659792,46.153297
2017-961353,2017-03-17,Vente en l'état futur d'achèvement,234000.0,,,69255,Vaugneray,69255000AC0760,,
2017-641762,2017-01-09,Vente,43500.0,LA GAGNERIE DE PAINNE,44260.0,44019,Bouée,44019000ZA0183,-1.913557,47.323447
2017-984923,2017-02-22,Vente,50000.0,LA CORVEE,71190.0,71192,Étang-sur-Arroux,711920000C0024,4.183117,46.85625
2017-708994,2017-02-07,Vente,70000.0,LA CHESNERAIE,50200.0,50243,Heugueville-sur-Sienne,50243000AB0112,-1.516462,49.032194
2017-450976,2017-11-24,Vente,80000.0,LE POUYALLET SUD,33250.0,33314,Pauillac,33314000AO0552,-0.763386,45.213105
2017-1299781,2017-01-24,Vente,480000.0,GR GRANDE RUE,92380.0,92033,Garches,92033000AH0406,2.190733,48.844072
2017-810545,2017-12-27,Vente,315000.0,CHEM DE STEENVOORDE,59470.0,59663,Wormhout,59663000ZP0133,2.482353,50.871194
2017-993011,2017-11-29,Vente,240000.0,RUE DU VERT GALANT,72000.0,72181,Le Mans,72181000MN0012,0.193111,48.003938
2017-1062961,2017-02-13,Vente,270000.0,RUE CLAUDE MONET,77380.0,77122,Combs-la-Ville,77122000BB0069,2.572427,48.660411
2017-813040,2017-01-16,Vente,155000.0,CITE BANDINI,59287.0,59345,Lewarde,593450000A1448,3.166899,50.333388
2017-1287892,2017-12-05,Vente,212963.0,RUE DES BONS RAISINS,92500.0,92063,Rueil-Malmaison,92063000AO0437,2.192729,48.873805
2017-348811,2017-04-08,Vente,88000.0,PARALOUP ET BERTAGNAT,30260.0,30181,Montmirat,301810000B0603,4.103429,43.897642
2017-323236,2017-12-19,Vente,90000.0,RUE PAUL GAUGUIN,29300.0,29233,Quimperlé,29233000AR0175,,
2017-1261766,2017-07-04,Vente,414000.0,RUE DES JARDINS,91480.0,91631,Varennes-Jarcy,91631000AH0125,2.56633,48.67992
2017-661168,2017-05-03,Vente,125000.0,RTE DE CHENAILLES,45550.0,45273,Saint-Denis-de-l'Hôtel,45273000ZE0300,2.142986,47.871681
2017-569291,2017-02-08,Vente,140000.0,RUE DES TROIS FONTAINES,39600.0,39002,Abergement-le-Grand,39002000AA0044,5.68287,46.912317
2017-146727,2017-07-26,Vente,347000.0,LOT LES LAURIERS,13120.0,13041,Gardanne,13041000CD0064,5.457551,43.440425
2017-758058,2017-05-27,Vente en l'état futur d'achèvement,214500.0,RUE DE LA LANDE,56000.0,56260,Vannes,56260000EE0239,-2.735081,47.655028
2017-1297399,2017-07-05,Vente en l'état futur d'achèvement,529000.0,,,92044,Levallois-Perret,920440000Q0244,2.299357,48.894223
2017-85420,2017-11-21,Vente,140000.0,RUE CHARLES BRAIBANT,8000.0,8105,Charleville-Mézières,08105000EE0319,4.696445,49.780797
2017-474043,2017-10-18,Vente,536663.0,CHE DU NOUAU,34730.0,34217,Prades-le-Lez,34217000AI0481,3.873341,43.690854
2017-860860,2017-11-13,Vente,55000.0,RUE SUPERVIELLE,62750.0,62528,Loos-en-Gohelle,62528000AO0143,2.767656,50.451264
2017-376421,2017-12-08,Vente,139000.0,CHE DE LIMAYRAC,31500.0,31555,Toulouse,31555836BE0119,1.4892,43.588333
2017-1152776,2017-11-14,Vente,112000.0,MAUGRANDE EST,82120.0,82034,Castéra-Bouzet,82034000AH0340,0.934943,44.008494
2017-578858,2017-05-23,Vente,105000.0,AV LENINE,40220.0,40312,Tarnos,40312000AI1391,-1.465444,43.542122
2017-511569,2017-07-17,Vente,320000.0,RUE BOUGAINVILLE,35400.0,35288,Saint-Malo,35288000BN0130,-2.010439,48.636674
2017-974845,2017-01-26,Vente,322000.0,SOUS LES GRANDES VIGNES,70150.0,70334,Marnay,703340000C0755,5.76202,47.288308
