id_mutation,date_mutation,nature_mutation,valeur_fonciere,adresse_nom_voie,code_postal,code_commune,nom_commune,id_parcelle,longitude,latitude
2020-634310,2020-03-31,Vente,257412.3,LE BAS BEUVRY,62660.0,62126,Beuvry,62126000AS0148,2.697433,50.529766
2020-50237,2020-01-13,Vente,183000.0,BD DU PRESIDENT WILSON,6600.0,6004,Antibes,06004000BS0501,7.117445,43.575783
2020-124300,2020-09-12,Vente,118000.0,AV P CASSAGNAVERE,14360.0,14715,Trouville-sur-Mer,14715000AI0300,0.085872,49.370558
2020-216152,2020-08-24,Vente,285460.0,RUE DE LA BRIQUETERIE,28410.0,28001,Abondant,280010000E1234,1.425873,48.77912
2020-12261,2020-06-30,Vente,113700.0,PARC DE L AILETTE,2860.0,2550,Neuville-sur-Ailette,025500000B0293,3.690974,49.464266
2020-630004,2020-07-01,Vente,65000.0,IMP PIERRE SIMON,62680.0,62570,Méricourt,62570000AI0185,2.886654,50.41427
2020-356377,2020-02-03,Vente,34968.0,PIECE DE PREZAULT,37220.0,37180,Parçay-sur-Vienne,37180000ZE0089,0.491713,47.099636
2020-388727,2020-03-05,Vente,143747.6,RTE DE CHAMBORD,41350.0,41104,Huisseau-sur-Cosson,41104000BH0197,1.465107,47.594645
2020-564602,2020-07-07,Vente,46000.0,PL DES MILLOTS,58200.0,58086,Cosne-Cours-sur-Loire,58086000BN0148,2.900811,47.36979
2020-477620,2020-01-20,Vente en l'état futur d'achèvement,255000.0,RUE DU MAINE,49100.0,49007,Angers,49007000BO0073,-0.548323,47.477066
2020-509199,2020-11-06,Vente,236000.0,LA VIEILLE CROIX,50700.0,50087,Brix,500870000B0239,-1.523891,49.555027
2020-752123,2020-02-03,Vente,320000.0,RUE DU 8 MAI 1945,76210.0,76329,Gruchet-le-Valasse,76329000AC0997,0.484813,49.556314
2020-293538,2020-12-30,Vente en l'état futur d'achèvement,40000.0,RUE DE LA GARE,33380.0,33051,Biganos,33051000AC0163,-0.967406,44.637535
2020-244652,2020-07-31,Vente,295000.0,RABEGE,30500.0,30303,Saint-Victor-de-Malcap,303030000B0467,4.229619,44.237
2020-649237,2020-12-29,Vente,114112.0,LES AVENNES,62380.0,62140,Bléquin,62140000ZE0081,1.986199,50.668928
2020-855446,2020-12-16,Vente,495000.0,RUE KLEBER,83610.0,83043,Collobrières,83043000AC0079,6.308622,43.237183
2020-53882,2020-08-25,Vente,75000.0,BD SADI CARNOT,6110.0,6030,Le Cannet,06030000AZ0157,7.016255,43.572225
2020-945537,2020-03-11,Vente,384000.0,RUE DES GRANDES TERRES,92500.0,92063,Rueil-Malmaison,92063000AC0285,2.170805,48.888407
2020-358668,2020-09-09,Vente,79800.0,RUE ARMAND BERANGER,37240.0,37094,Cussay,370940000D0089,0.787163,47.024228
2020-413412,2020-05-29,Vente,52833.0,LE VELALLIER,43500.0,43201,Saint-Julien-d'Ance,432010000A0059,3.925488,45.337269
2020-709651,2020-09-07,Vente,42000.0,LE BOURG,71800.0,71433,Saint-Julien-de-Civry,71433000AB0154,4.231205,46.36553
2020-762406,2020-06-23,Vente,176800.0,RUE DE LA MAIRIE VILLEMARECHAL,77710.0,77504,Villemaréchal,77504000ZE0178,2.870098,48.26734
2020-138906,2020-08-13,Vente,229300.0,RUE ALIENOR D AQUITAINE,17000.0,17300,La Rochelle,17300000AO0552,-1.159291,46.163582
2020-225919,2020-01-29,Vente,113000.0,RIBBA,20167.0,2A271,Sarrola-Carcopino,2A2710000D2019,8.837203,42.025683
2020-763277,2020-05-27,Vente en l'état futur d'achèvement,202600.0,RUE DES FABRIQUES,77000.0,77288,Melun,77288000AM0355,2.668211,48.543243
2020-403452,2020-09-10,Vente,97000.0,RUE PROST GRIVET,42420.0,42123,Lorette,421230000H0208,4.582328,45.513515
2020-570699,2020-07-27,Vente,262700.0,RUE GANTOIS,59000.0,59350,Lille,59350000OT0354,3.058477,50.624803
2020-778183,2020-05-14,Vente en l'état futur d'achèvement,262000.0,RUE ALBERT SCHWEITZER,77420.0,77083,Champs-sur-Marne,77083000AH0323,2.576876,48.852952
2020-426598,2020-01-24,Vente,187200.0,RUE DE BAZOGES,44330.0,44212,Vallet,44212000AY0328,-1.26361,47.160354
2020-309336,2020-07-06,Vente,350000.0,LES TUILES,34700.0,34251,Saint-Étienne-de-Gourgas,34251000AC0251,3.373297,43.769873
2020-138219,2020-06-11,Vente,230000.0,ALL DE L AUXERROIS,17440.0,17028,Aytré,17028000AH0218,-1.11715,46.140185
2020-814651,2020-02-20,Vente,251317.8,LA RACONNIERE,79350.0,79008,Amailloux,790080000B0707,-0.289818,46.742144
2020-186648,2020-08-08,Vente,48250.0,RUE WALDECK ROUSSEAU,24000.0,24322,Périgueux,24322000BI0148,0.720114,45.181184
2020-535901,2020-09-11,Vente,210000.0,RUE MARTIN MUNIER,54000.0,54395,Nancy,54395000AW0076,6.194365,48.690054
2020-566348,2020-01-23,Vente,130000.0,LES CHAUMES,58200.0,58002,Alligny-Cosne,58002000ZE0296,3.099638,47.443334
2020-745151,2020-05-04,Vente,237000.0,CHE DE LA PLANQUETTE,76130.0,76451,Mont-Saint-Aignan,76451000AZ0384,1.08644,49.472405
2020-357906,2020-01-09,Vente,258000.0,RUE GUY MARIE OURY,37600.0,37132,Loches,37132000AK1761,0.991711,47.1344
2020-236539,2020-12-14,Vente,180000.0,PRUGUIERON,30190.0,30224,La Rouvière,30224000AB0128,4.220128,43.923395
2020-1049055,2020-07-28,Vente,590000.0,RUE LOUIS BRAILLE,75012.0,75112,Paris 12e Arrondissement,75112000AR0040,2.401037,48.839576
2020-19284,2020-11-04,Vente,65000.0,LE CLOS DU CHATEAU,2120.0,2624,Proisy,02624000AB0031,3.733159,49.899253
2020-20408,2020-08-27,Vente,240000.0,LE CHATEAU FONTENELLE,2540.0,2458,Dhuys et Morin-en-Brie,02458325AC0009,3.508979,48.914905
2020-347428,2020-01-20,Vente,115000.0,LE BOURG,36290.0,36246,Villiers,362460000D0482,1.185318,46.885959
2020-623867,2020-12-04,Vente,78000.0,RUE DU QUAI DES BATELIERS,60400.0,60506,Pont-l'Évêque,60506000AB0165,2.987186,49.56202
2020-350110,2020-02-12,Vente,405000.0,RUE VICTOR HUGO,37000.0,37261,Tours,37261000ES0102,0.681099,47.387793
2020-1018976,2020-09-16,Vente,88500.0,RUE DE PARIS,95270.0,95652,Viarmes,95652000AC0342,2.369857,49.12739
2020-664308,2020-11-23,Vente,55000.0,DARRE BIAR,64270.0,64168,Carresse-Cassaber,64168000ZC0154,-0.991557,43.47918
2020-294212,2020-02-18,Vente,132500.0,RUE PAUL RABOUTET,33390.0,33058,Blaye,33058000AR0006,-0.662326,45.131503
2020-606144,2020-06-26,Vente,180000.0,LE VILLAGE SUD,59192.0,59079,Beuvrages,59079000AE0706,3.50601,50.383006
2020-369218,2020-09-02,Vente,72000.0,BOU,38510.0,38543,Vézeronce-Curtin,385430000B1334,,
2020-875074,2020-05-19,Vente,66000.0,RES L'ILE DU LAC,85440.0,85288,Talmont-Saint-Hilaire,85288228AY0026,-1.674727,46.4441
2020-895600,2020-02-05,Vente,384202.0,LE MAS DU PUY,87110.0,87205,Le Vigen,87205000AM0001,1.296477,45.763561
2020-611524,2020-07-27,Vente,111000.0,BALLEUX LE HAMEAU,60380.0,60335,Lachapelle-sous-Gerberoy,603350000A0274,1.878748,49.552451
2020-249054,2020-09-30,Vente en l'état futur d'achèvement,297500.0,RUE D'AIX,31400.0,31555,Toulouse,31555812AD0150,1.438128,43.579879
2020-811323,2020-08-28,Vente,150000.0,RUE DES PRES DE LA FONTAINE,78830.0,78120,Bullion,781200000E0784,1.972545,48.61212
2020-95315,2020-02-14,Vente,169700.0,RUE MARX DORMOY,13004.0,13204,Marseille 4e Arrondissement,132048180I0188,5.396195,43.300681
2020-504476,2020-11-30,Vente,73000.0,RUE DU BOIS - TOURLAVILLE,50110.0,50129,Cherbourg-en-Cotentin,50129602BD0253,-1.598832,49.635866
2020-879622,2020-11-20,Vente,265000.0,AV DE BRETAGNE,85100.0,85194,Les Sables-d'Olonne,85194000AK0467,-1.777944,46.504406
2020-685569,2020-05-15,Vente,223450.0,AV FRANCIS DE PRESSENSE,69200.0,69259,Vénissieux,69259000AE0035,4.864986,45.725129
2020-190826,2020-09-28,Vente,516880.0,BORIE NEUVE,24500.0,24167,Eymet,24167000ZT0166,0.376921,44.661539
2020-123540,2020-07-01,Vente,498350.0,CHE DES VARETS,14600.0,14333,Honfleur,14333000AX0125,,
2020-259645,2020-03-27,Vente,91900.0,A BIDALON,32500.0,32405,Sainte-Radegonde,324050000D0293,0.572497,43.850048
2020-761174,2020-05-22,Vente,187000.0,RES TOURNAN ORIGNY,77220.0,77470,Tournan-en-Brie,77470000ZA0005,2.760051,48.743682
2020-174089,2020-01-17,Vente,26500.0,NENEZIOU,22390.0,22072,Gurunhuel,22072000ZH0011,-3.272182,48.519491
2020-179694,2020-09-03,Vente,90000.0,LES LOGES,22210.0,22183,Plémet,22183058ZI0022,-2.618598,48.138571
2020-981754,2020-06-26,Vente,144500.0,AV FRANCOIS MAURIAC,93330.0,93050,Neuilly-sur-Marne,93050000AW0250,2.517619,48.855927
2020-48964,2020-06-18,Vente en l'état futur d'achèvement,283000.0,LE QUARTIER,6470.0,6094,Péone,06094000AC0069,6.935667,44.09353
2020-158428,2020-05-20,Vente,50000.0,IMP DU NANY,19100.0,19031,Brive-la-Gaillarde,19031000DN0243,1.529596,45.145923
2020-737202,2020-05-13,Vente,304000.0,RTE DE LA BARQUE,74130.0,74087,Contamine-sur-Arve,740870000B1523,6.339666,46.125689
2020-695477,2020-09-04,Vente,193500.0,CHE DES VILLAS,69340.0,69089,Francheville,69089000BB0048,4.752828,45.746832
2020-425681,2020-12-29,Vente,79500.0,SQ ST PASQUIER,44000.0,44109,Nantes,44109000MT0811,-1.567431,47.227566
2020-1032533,2020-03-11,Vente,200000.0,ZONE INDUSTRIELLE OUEST,97310.0,97304,Kourou,97304000BH0047,-52.667175,5.159643
2020-467118,2020-01-22,Vente,52500.0,RTE DES SERRES,46260.0,46179,Lugagnac,46179000AI0044,1.743558,44.408233
2020-596955,2020-09-16,Vente,136000.0,QUAI DU MARECHAL FOCH,59500.0,59178,Douai,59178000CD0757,3.075279,50.366306
2020-815495,2020-04-22,Vente,258700.0,LES TERRES DU BOCAGE,79430.0,79076,La Chapelle-Saint-Laurent,79076000AT0011,-0.437302,46.734785
2020-80701,2020-07-24,Vente,68000.0,SORET,10390.0,10100,Clérey,10100000ZK0054,4.175371,48.187284
2020-327796,2020-11-17,Vente,307000.0,RUE ROGER HENRI GUERRAND,35000.0,35238,Rennes,35238000DO0234,-1.698716,48.099188
2020-260095,2020-05-14,Vente,180000.0,AU GRUE DE HAUT,32250.0,32290,Montréal,322900000A2759,0.178517,43.957502
2020-55021,2020-01-08,Vente,175000.0,ALL DE LA MARINE ROYALE,6210.0,6079,Mandelieu-la-Napoule,06079000AS0010,6.940533,43.537177
2020-522349,2020-07-16,Vente,100000.0,RUE HELENE BOUCHER,52000.0,52121,Chaumont,52121000BO0050,5.131028,48.099001
2020-921913,2020-05-25,Vente,160000.0,IMP DES AULNES,90300.0,90037,Éloie,900370000D0108,6.871819,47.689017
2020-658575,2020-06-26,Vente,97950.0,AV ANTOINE PORTE,63340.0,63352,Saint-Germain-Lembron,633520000F0137,3.23797,45.459054
2020-594031,2020-07-17,Vente,240000.0,RLE DREVE GODEFROY,59850.0,59431,Nieppe,59431000AW0003,2.835546,50.686462
2020-129560,2020-07-30,Vente,159440.0,CHEZ LES CAMPS,16250.0,16036,Bécheresse,160360000C0259,0.10018,45.496267
2020-299989,2020-11-13,Vente,72350.0,MARES,33190.0,33418,Saint-Hilaire-de-la-Noaille,33418000AM0018,-0.0138,44.601296
2020-438480,2020-05-04,Vente,102168.0,RUE DES PETITES LANDES,44640.0,44166,Saint-Jean-de-Boiseau,44166000ZA0160,-1.744887,47.191838
2020-671167,2020-05-15,Vente,180000.0,RUE VINCENT MIR,65170.0,65388,Saint-Lary-Soulan,65388000AD0202,0.321552,42.815683
2020-261819,2020-10-29,Vente,29000.0,QUARTIER DU GARROS,32480.0,32212,Ligardes,322120000B0352,0.491047,44.032031
